"Rk","nameFirst","nameLast","YoB","Votes","%.vote","HOFm","HOFs","Yrs","WAR","WAR7","JAWS","Jpos","G...13","AB","R","H...16","HR...17","RBI","SB","BB...20","BA","OBP","SLG","OPS","OPS.","W","L","ERA","ERA.","WHIP","G...31","GS","SV","IP","H...35","HR...36","BB...37","SO","Pos.Summary","yearID","playerID","votedBy","ballots","needed","votes","inducted","category","needed_note"
1,"Scott","Rolen","6th",297,76.3,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*5/H",2023,"rolensc01",NA,NA,NA,NA,NA,NA,NA
2,"Todd","Helton","5th",281,72.2,175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*3H/7D9",2023,"heltoto01",NA,NA,NA,NA,NA,NA,NA
3,"Billy","Wagner","8th",265,68.1,107,24,16,27.7,19.8,23.7,32.5,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,"*1",2023,"wagnebi02",NA,NA,NA,NA,NA,NA,NA
4,"Andruw","Jones","6th",226,58.1,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*89H7D/3",2023,"jonesan01",NA,NA,NA,NA,NA,NA,NA
5,"Gary","Sheffield","9th",214,55,158,61,22,60.5,38,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*9*7*5*D6H/3",2023,"sheffga01",NA,NA,NA,NA,NA,NA,NA
7,"Jeff","Kent","10th",181,46.5,123,51,17,55.5,35.8,45.6,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*453H/D6",2023,"kentje01",NA,NA,NA,NA,NA,NA,NA
8,"Alex","Rodriguez","2nd",139,35.7,390,77,22,117.5,64.3,90.9,55.4,2784,10566,2021,3115,696,2086,329,1338,0.295,0.38,0.55,0.93,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*6*5DH/3",2023,"rodrial01",NA,NA,NA,NA,NA,NA,NA
9,"Manny","Ramirez","7th",129,33.2,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*7*9*DH",2023,"ramirma02",NA,NA,NA,NA,NA,NA,NA
10,"Omar","Vizquel","6th",76,19.5,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"*65H4/D379",2023,"vizquom01",NA,NA,NA,NA,NA,NA,NA
11,"Andy","Pettitte","5th",66,17,128,44,18,60.2,34.1,47.2,61.4,108,196,6,27,1,13,0,6,0.138,0.163,0.184,0.346,-10,256,153,3.85,117,1.351,531,521,0,3316,3448,288,1031,2448,"*1/H",2023,"pettian01",NA,NA,NA,NA,NA,NA,NA
